"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/08/2020 15:16:52.038","2.4250467116654821353","5.1965286678546052102","1267.9529949565235256","0","0","100","100","100","100","205099008","126189568","310665216","27791360","19173376"
"05/08/2020 15:17:02.309","0","0","4.2598106311164061211","0","0","100","100","100","100","205099008","126189568","310808576","27791360","19173376"
"05/08/2020 15:17:03.293","0","0","395.23821569164670109","0","0","100","100","100","100","205099008","126189568","312315904","27791360","19173376"
"05/08/2020 15:17:04.293","3.125","0","389.0625","0","0","100","100","100","100","205099008","126189568","313901056","27791360","19173376"
"05/08/2020 15:17:05.299","1.5533969386001096336","1.5533969386001096336","388.34923465002736975","0","0","100","100","100","100","204832768","126189568","315486208","27791360","19173376"
"05/08/2020 15:17:06.303","0","0","396.70884122436484631","0","0","100","100","100","100","204832768","126189568","317034496","27791360","19173376"
"05/08/2020 15:17:07.335","3.0303109642081000885","0","336.3645170270991116","0","0","100","100","100","100","205623296","126189568","303722496","27791360","19173376"
"05/08/2020 15:17:08.319","1.5873019098010230366","1.5873019098010230366","393.65087363065367754","0","0","100","100","100","100","205959168","126189568","305459200","27791360","19173376"
"05/08/2020 15:17:14.314","0.26065117018029171359","0.26065117018029171359","396.45042984422372001","0","0","100","100","100","100","206331904","126189568","316268544","27791360","19173376"
"05/08/2020 15:17:15.298","0","1.5873004585545944511","376.19020867743893177","0","0","100","100","100","100","206331904","126189568","317747200","27791360","19173376"
